번호,시퀀스,모델명,지역,가격,시세안심지수,번호판,연식,주행거리,연료,변속기,색상,사진
0,26719824,벤츠 CLE클래스 (C236) CLE 450 4MATIC 쿠페 기본형,경기,"7,500만원",적정,234더8950,24년04월(24년형),"14,000km",하이브리드(가솔린),오토,검정색,https://img.kbchachacha.com/IMG/carimg/l/img01/img2671/26719824_29769593762286855.jpg?width=320
1,26725302,BMW M시리즈 M4 쿠페 Competition M xDrive (G82),경기,"8,700만원",적정,340어5584,23년02월(23년형),"54,000km",가솔린,오토,흰색,https://img.kbchachacha.com/IMG/carimg/l/img02/img2672/26725302_29869560944420322.jpg?width=320
2,26511852,재규어 F-TYPE 2.0 P300 컨버터블,경기,"4,300만원",적정,45루7757,18년08월(19년형),"75,026km",가솔린,오토,흰색,https://img.kbchachacha.com/IMG/carimg/l/img01/img2651/26511852_23832822976422412.jpeg?width=320
3,26656783,포드 올뉴머스탱 GT 쿠페 프리미엄,경기,"6,690만원",적정,188다1891,24년05월(24년형),"16,111km",가솔린,오토,검정색,https://img.kbchachacha.com/IMG/carimg/l/img05/img2665/26656783_27634393293394956.jpeg?width=320
4,26651706,포르쉐 718 박스터 2.5 GTS,경기,"8,220만원",적정,342거3161,19년12월(20년형),"19,237km",가솔린,오토,검정색,https://img.kbchachacha.com/IMG/carimg/l/img05/img2665/26651706_27538620218387374.jpeg?width=320
5,26704611,BMW i8 1.5 쿠페 하이브리드,경기,"5,790만원",낮음,122수6666,16년03월(15년형),"99,406km",하이브리드(가솔린),오토,흰색,https://img.kbchachacha.com/IMG/carimg/l/img10/img2670/26704611_28843427884588218.jpeg?width=320
6,26670879,벤츠 SLC클래스 (R172) SLC 250,경기,"3,150만원",낮음,316도3881,19년09월(19년형),"55,341km",가솔린,오토,흰색,https://img.kbchachacha.com/IMG/carimg/l/img07/img2667/26670879_28059459979676128.jpeg?width=320
7,26650244,포드 올뉴머스탱 컨버터블 프리미엄,경기,"3,220만원",적정,367누4106,19년09월(19년형),"44,877km",가솔린,오토,흰색,https://img.kbchachacha.com/IMG/carimg/l/img05/img2665/26650244_27521344247665568.jpeg?width=320
8,26602468,BMW M시리즈 M4 컨버터블 F83(15년~),경기,"5,020만원",적정,159누2636,17년11월(18년형),"65,309km",가솔린,오토,빨강색,https://img.kbchachacha.com/IMG/carimg/l/img10/img2660/26602468_26225960388688631.jpeg?width=320
9,26468812,BMW 올 뉴 Z4 sDrive 20i M 스포츠 패키지,경기,"4,890만원",적정,188두2355,21년08월(21년형),"39,908km",가솔린,오토,검정색,https://img.kbchachacha.com/IMG/carimg/l/img06/img2646/26468812_22860757286323087.jpeg?width=320
10,26343221,포르쉐 뉴 911 카레라 4 991(12~),경기,"13,500만원",적정,101어9640,20년07월(20년형),"45,458km",가솔린,오토,검정색,https://img.kbchachacha.com/IMG/carimg/l/img04/img2634/26343221_19852769846904081.jpeg?width=320
11,26589362,포르쉐 Taycan Cross Turismo 4S,경기,"12,200만원",적정,66고7766,22년06월(22년형),"20,770km",전기,오토,빨강색,https://img.kbchachacha.com/IMG/carimg/l/img08/img2658/26589362_25818944162125564.jpg?width=320
12,25569678,포르쉐 Taycan Base,경기,"10,400만원",적정,29고8847,22년06월(22년형),"36,132km",전기,오토,미색,https://img.kbchachacha.com/IMG/carimg/l/img06/img2556/25569678_2813055356447894.jpeg?width=320
13,26692619,재규어 F-TYPE 3.0SC S 쿠페 AWD,인천,"3,100만원",적정,231더5050,17년03월(17년형),"97,902km",가솔린,오토,회색,https://img.kbchachacha.com/IMG/carimg/l/img09/img2669/26692619_28639669241235300.jpeg?width=320
14,26723985,재규어 F-TYPE 3.0SC S 쿠페 기본형,경기,"4,099만원",낮음,25나7039,17년07월(17년형),"67,287km",가솔린,오토,회색,https://img.kbchachacha.com/IMG/carimg/l/img02/img2672/26723985_29851550111179519.jpeg?width=320
