번호,시퀀스
0,26719824
1,26725302
2,26511852
3,26656783
4,26651706
5,26704611
6,26670879
7,26650244
8,26602468
9,26468812
10,26343221
11,26589362
12,25569678
13,26692619
14,26723985
15,26702185
16,26683546
17,26640521
18,26633218
19,26604389
20,26540301
21,25794839
22,26268515
23,26204377
24,26021818
25,26012781
26,26719824
27,26565513
28,26742795
29,26353112
30,26727094
31,26363686
32,26511852
33,26599011
34,26647869
35,26667070
36,26347152
37,26610289
38,26575709
39,26434579
40,26756274
41,26700113
42,26753993
43,26756241
44,26651706
45,26725302
46,26558889
47,26523581
48,26253664
49,26723985
50,26704611
51,26702185
52,26683546
53,26670879
54,26650244
55,26640521
56,26633218
57,26604389
58,26602468
59,26540301
60,26468812
61,26268515
62,26204377
63,26021818
64,26012781
65,25794839
66,26343015
67,26756097
68,26634079
69,26596392
70,26218362
71,26671684
72,26308264
73,26545700
74,26564318
75,26619466
76,26749007
77,26498042
78,26693937
79,26719576
80,26715297
81,26755700
82,26492930
83,26737391
84,26518361
85,26369208
86,26741028
87,26730822
88,26685761
89,26651550
90,26750120
91,26662972
92,26490705
93,26359392
94,26753399
95,26338521
96,26672623
97,26283955
98,26384374
99,26523491
100,26228594
101,26752739
102,26617996
103,26058400
104,26747945
105,26375407
106,26557766
107,26730556
108,26751297
109,26729369
110,26621367
111,26712722
112,26566866
113,26398034
114,26372769
115,26639966
116,26750037
117,26731575
118,26660201
119,26749452
120,26749404
121,26499220
122,26748740
123,26438457
124,26747820
125,26747766
126,26747356
127,26747354
128,26746750
129,26745600
130,26470172
131,26745587
132,26744097
133,26743109
134,26426908
135,26620410
136,26543435
137,26724914
138,26731908
139,26466817
140,26741160
141,26741144
142,26741135
143,26392915
144,26325964
145,26371752
146,26536544
147,26661172
148,26678086
149,26498711
150,26737160
151,26738993
152,26738719
153,26738573
154,26641538
155,26641519
156,26737873
157,26737365
158,26737354
159,26210427
160,26409724
161,26737013
162,26733528
163,26732926
164,26732685
165,26624196
166,26731922
167,26721213
168,26440356
169,26729048
170,26726584
171,26726269
172,26723987
173,26723106
174,26722967
175,26722806
176,26722094
177,26721809
178,26720568
179,26720009
180,26333200
181,26702382
182,26597320
183,26479019
184,26587137
185,26717338
186,26716710
187,26716185
188,26715971
189,26715656
190,26392481
191,26684286
192,26602426
193,26656775
194,26711336
195,26451343
196,26709911
197,26709578
198,26490278
199,26707830
200,26707718
201,26707374
202,26707020
203,26691265
204,26704641
205,26704637
206,26704518
207,26703912
208,26702209
209,26698737
210,26697563
211,26695225
212,26695081
213,26693271
214,26484809
215,26371759
216,26369790
217,26435186
218,26691290
219,26689702
220,26689624
221,26687429
222,26685265
223,26684513
224,26682575
225,26268929
226,26674440
227,26608911
228,26672085
229,26665484
230,26665345
231,26660265
232,26658921
233,26657068
234,26656319
235,26471532
236,26654516
237,26305863
238,26384673
239,26170396
240,26293024
241,26302121
242,26353517
243,26495669
244,26319462
245,26409338
246,26511747
247,26559635
248,26573477
249,26579081
250,26604300
251,26619179
252,26621648
253,26282187
254,26337293
255,26410886
256,26436339
257,26640659
258,26652131
259,26537679
260,26570529
261,26617066
262,26652736
263,26652092
264,26500432
265,26649430
266,26648626
267,26648616
268,26327064
269,26328839
270,26644233
271,26640522
272,26635026
273,26588142
274,26631735
275,26389324
276,26537356
277,26624221
278,26621338
279,26619743
280,26619291
281,26522272
282,26617746
283,26617692
284,26617030
285,26399024
286,26612618
287,26609799
288,26608985
289,26608582
290,26343478
291,26605748
292,26605585
293,26605470
294,26600262
295,26598663
296,26477046
297,26593964
298,26592556
299,26592465
300,26542081
301,26584371
302,26583866
303,26582498
304,26321703
305,26375368
306,26568058
307,26568054
308,26568053
309,26560960
310,26560539
311,26558315
312,26553390
313,26263150
314,26545874
315,26539989
316,25977710
317,26533640
318,26533273
319,26533055
320,26527952
321,26397519
322,26409028
323,26523667
324,26403281
325,26517851
326,26389491
327,26516126
328,26515210
329,26378784
330,26508568
331,26507500
332,26504094
333,26306460
334,26500687
335,26383716
336,26499116
337,26497203
338,26494760
339,26493644
340,26488254
341,26372713
342,26485021
343,26484981
344,26484842
345,26293413
346,26477587
347,26474857
348,26470338
349,26468564
350,26467154
351,26462821
352,26461760
353,26456276
354,26450794
